title,authors,year,venue,abstract,Full abstract,citations,url,query,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
{COMA}: Communication and Obfuscation Management Architecture,"['KZ Azar', 'F Farahmand', 'HM Kamali']",2019,"… Attacks, Intrusions and …","supply chain to the third-party facilities, which are identified as untrusted entities [4]. Fabrication  of ICs in an untrusted supply chain  at this stage of supply chain, although they can be","In this paper, we introduce a novel Communication and Obfuscation Management Architecture (COMA) to handle the storage of the obfuscation key and to secure the communication to/from untrusted yet obfuscated circuits. COMA addresses three challenges related to the obfuscated circuits: First, it removes the need for the storage of the obfuscation unlock key at the untrusted chip. Second, it implements a mechanism by which the key sent for unlocking an obfuscated circuit changes after each activation (even for the same device), transforming the key into a dynamically changing license. Third, it protects the communication to/from the COMA protected device and additionally introduces two novel mechanisms for the exchange of data to/from COMA protected architectures: (1) a highly secure but slow double encryption, which is used for exchange of key and sensitive data (2) a high-performance and low-energy yet leaky encryption, secured by means of frequent key renewal. We demonstrate that compared to state-of-the-art key management architectures, COMA reduces the area overhead by 14%, while allowing additional features including unique chip authentication, enabling activation as a service (for IoT devices), reducing the side channel attack on key management architecture, and providing two new means of the secure communication to/from an COMA-secured untrusted chip.",40,https://www.usenix.org/conference/raid2019/presentation/azar,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
"A Comprehensive, Automated Security Analysis of the Uptane Automotive Over-the-Air Update Framework","['R Lorch', 'D Larraz', 'C Tinelli', 'O Chowdhury']",2024,"… , Intrusions and Defenses","A# supply chain attack [16, 35, 62] Table 2: Feasibility of  The adversary has compromised  the supply chain (A# in Figure 2) supply chain attack Table 7: Abbreviations and their","We present our experience of formally verifying the desired security properties of the Uptane over-the-air (OTA) software update framework against a set of applicable threat models. Uptane is gaining traction in the automobile industry and is widely considered the next de-facto standard for OTA automobile software updates. The security of Uptane is of utmost importance because modern automobiles rely on software for their safety-critical functionalities and, especially, require OTA software updates to add new safety features or patch bugs in existing ones. Design flaws in Uptane can either violate the integrity of the updates to be installed or prevent vehicles from installing new updates, both of which can cause severe safety issues. Previous approaches to protocol verification either fail to capture the necessary features of Uptane or suffer from termination issues due to Uptane’s complexity. A key component of our approach lies in the eager combination of an infinite-state model checker and a cryptographic protocol verifier, where (in contrast to prior lazy approaches) we are able to eliminate a key manual step in the workflow while enabling reasoning over more fine-grained message structures. In addition, our approach utilizes two proven soundness- and completeness-preserving state-space-reduction optimizations for computational tractability, as well as a meta-level analysis technique that makes it feasible to reason over Uptane’s set of optional protocol features. Our approach is able to discover six new vulnerabilities while rediscovering all five known ones. While there have been previous analyses of Uptane’s security properties, they either missed design flaws identified by our approach or suffered from coverage and termination issues. The Uptane standards body has positively acknowledged our findings and has suggested updates to the protocol specification documents to address them.",0,https://dl.acm.org/doi/abs/10.1145/3678890.3678927,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
ADAPT it! Automating APT Campaign and Group Attribution by Leveraging and Linking Heterogeneous Files,"['A Saha', 'J Blasco', 'L Cavallaro', 'M Lindorfer']",2024,"… , Intrusions and Defenses","For instance, in the supply chain attack uncovered by Mandiant [61], the analysis of 11  distinct campaigns  Supply Chain Analysis: From Quartermaster to Sunshop. (Jan. 20, 2022).","Recent years have witnessed a surge in the growth of Advanced Persistent Threats (APTs), with significant challenges to the security landscape, affecting industry, governance, and democracy. The ever-growing number of actors and the complexity of their campaigns have made it difficult for defenders to track and attribute these malicious activities effectively. Traditionally, researchers relied on threat intelligence to track APTs. However, this often led to fragmented information, delays in connecting campaigns with specific threat groups, and misattribution.In response to these challenges, we introduce ADAPT, a machine learning-based approach for automatically attributing APTs at two levels: (1) the threat campaign level, to identify samples with similar objectives and (2) the threat group level, to identify samples operated by the same entity. ADAPT supports a variety of heterogeneous file types targeting different platforms, including executables and documents, and uses linking features to find connections between them. We evaluate ADAPT on a reference dataset from MITRE as well as a comprehensive, label-standardized dataset of 6,134 APT samples belonging to 92 threat groups. Using real-world case studies, we demonstrate that ADAPT effectively identifies clusters representing threat campaigns and associates them with their respective groups.",1,https://dl.acm.org/doi/abs/10.1145/3678890.3678909,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
Dark firmware: a systematic approach to exploring application security risks in the presence of untrusted firmware,"['D Ibdah', 'N Lachtar', 'AA Elkhail', 'A Bacha']",2020,"… , Intrusions and Defenses …","This trend raises concerns about the security of the system components that we have grown  accustomed to trusting, especially as the number of supply chain attacks continues to rise. In","Compromising lower levels of the computing stack is attractive to attackers since malware that resides in layers that span firmware and hardware are notoriously difficult to detect and remove. This trend raises concerns about the security of the system components that we have grown accustomed to trusting, especially as the number of supply chain attacks continues to rise. In this work, we explore the risks associated with application security in the presence of untrusted firmware. We present a novel firmware attack that leverages system management cycles to covertly collect data from the application layer. We show that system interrupts that are used for managing the platform, can be leveraged to extract sensitive application data from outgoing requests even when the HTTPS protocol is used. We evaluate the robustness of our attack under diverse and stressful application usage conditions running on Ubuntu 18.04 and Android 8.1 operating systems. We conduct a proof-of-concept implementation of the attack using firmware configured to run with the aforementioned OSs and a mix of popular applications without disrupting the normal functionality of the system. Finally, we discuss a possible countermeasure that can be used to defend against firmware attacks.",8,https://www.usenix.org/conference/raid2020/presentation/ibdah,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
Encryption is futile: Reconstructing 3d-printed models using the power side-channel,"['J Gatlin', 'S Belikovetsky', 'Y Elovici', 'A Skjellum']",2021,"… Attacks, Intrusions and …","For example, subcategories of Supply Chain Risk Management specify routine assessment  of suppliers for compliance with contractual obligations. The Framework can provide a","Outsourced Additive Manufacturing (AM) exposes sensitive design data to external malicious actors. Even with end-to-end encryption between the design owner and 3D-printer, side-channel attacks can be used to bypass cyber-security measures and obtain the underlying design. In this paper, we develop a method based on the power side-channel that enables accurate design reconstruction in the face of full encryption measures without any prior knowledge of the design. Our evaluation on a Fused Deposition Modeling (FDM) 3D Printer has shown 99 % accuracy in reconstruction, a significant improvement on the state of the art. This approach demonstrates the futility of pure cyber-security measures applied to Additive Manufacturing.",27,https://dl.acm.org/doi/abs/10.1145/3471621.3471850,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
Extending C2 Traffic Detection Methodologies: From TLS 1.2 to TLS 1.3-enabled Malware,"['D Barradas', 'C Novo', 'B Portela', 'S Romeiro']",2024,… Intrusions and Defenses,"As the Internet evolves from TLS 1.2 to TLS 1.3, it offers enhanced security against network  eavesdropping for online communications. However, this advancement also enables","As the Internet evolves from TLS 1.2 to TLS 1.3, it offers enhanced security against network eavesdropping for online communications. However, this advancement also enables malicious command and control (C2) traffic to more effectively evade malware detectors and intrusion detection systems. Among other capabilities, TLS 1.3 introduces encryption for most handshake messages and conceals the actual TLS record content type, complicating the task for state-of-the-art C2 traffic classifiers that were initially developed for TLS 1.2 traffic. Given the pressing need to accurately detect malicious C2 communications, this paper examines to what extent existing C2 classifiers for TLS 1.2 are less effective when applied to TLS 1.3 traffic, posing a central research question: is it possible to adapt TLS 1.2 detection methodologies for C2 traffic to work with TLS 1.3 flows?We answer this question affirmatively by introducing new methods for inferring certificate size and filtering handshake/protocol-related records in TLS 1.3 flows. These techniques enable the extraction of key features for enhancing traffic detection and can be utilized to pre-process data flows before applying C2 classifiers. We demonstrate that this approach facilitates the use of existing TLS 1.2 C2 classifiers with high efficacy, allowing for the passive classification of encrypted network traffic. In our tests, we inferred certificate sizes with an average error of 1.0%, and achieved detection rates of 100% when classifying traffic based on certificate size, and over 93% when classifying TLS 1.3 traffic behavior after training solely on TLS 1.2 traffic. To our knowledge, these are the first findings to showcase specialized TLS 1.3 C2 traffic classification.",0,https://dl.acm.org/doi/abs/10.1145/3678890.3678921,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
Fieldfuzz: In situ blackbox fuzzing of proprietary industrial automation runtimes via the network,"['A Bytes', 'PHN Rajput', 'C Doumanidis']",2023,"… Attacks, Intrusions and …","supply chain risks, as the final runtime is a collection of components from various sources.  The urgent/11 and ripple20 vulnerabilities [4, 24] are recent examples of critical supply chain","Networked Programmable Logic Controllers (PLCs) are proprietary industrial devices utilized in critical infrastructure that execute control logic applications in complex proprietary runtime environments that provide standardized access to the hardware resources in the PLC. These control applications are programmed in domain-specific IEC 61131-3 languages, compiled into a proprietary binary format, and process data provided via industrial protocols. Control applications present an attack surface threatened by manipulated traffic. For example, remote code injection in a control application would directly allow to take over the PLC, threatening physical process damage and the safety of human operators. However, assessing the security of control applications is challenging due to domain-specific challenges and the limited availability of suitable methods. Network-based fuzzing is often the only way to test such devices but is inefficient without guidance from execution tracing.This work presents the FieldFuzz framework that analyzes the security risks posed by the Codesys runtime (used by over 400 devices from 80 industrial PLC vendors). FieldFuzz leverages efficient network-based fuzzing based on three main contributions: i) reverse-engineering enabled remote control of control applications and runtime components, ii) automated command discovery and status code extraction via network traffic and iii) a monitoring setup to allow on-system tracing and coverage computation. We use FieldFuzz to run fuzzing campaigns, which uncover multiple vulnerabilities, leading to three reported CVE IDs. To study the cross-platform applicability of FieldFuzz, we reproduce the findings on a diverse set of Industrial Control System (ICS) devices, showing a significant improvement over the state-of-the-art.",11,https://dl.acm.org/doi/abs/10.1145/3607199.3607226,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
Fine-Pruning: Defending Against Backdooring Attacks on Deep,"['KLB Dolan-Gavitt', 'S Garg']",2018,"… in Attacks, Intrusions, and Defenses …",BadNets: identifying vulnerabilities in the machine learning model supply chain. In: NIPS  Machine Learning and Computer Security Workshop (2017). https://arxiv.,"Deep neural networks (DNNs) provide excellent performance across a wide range of classification tasks, but their training requires high computational resources and is often outsourced to third parties. Recent work has shown that outsourced training introduces the risk that a malicious trainer will return a backdoored DNN that behaves normally on most inputs but causes targeted misclassifications or degrades the accuracy of the network when a trigger known only to the attacker is present. In this paper, we provide the first effective defenses against backdoor attacks on DNNs. We implement three backdoor attacks from prior work and use them to investigate two promising defenses, pruning and fine-tuning. We show that neither, by itself, is sufficient to defend against sophisticated attackers. We then evaluate fine-pruning, a combination of pruning and fine-tuning, and show that it successfully weakens or even eliminates the backdoors, i.e., in some cases reducing the attack success rate to 0% with only a 0.4% drop in accuracy for clean (non-triggering) inputs. Our work provides the first step toward defenses against backdoor attacks in deep neural networks.",0,https://arxiv.org/abs/1805.12185,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
Fine-pruning: Defending against backdooring attacks on deep neural networks,"['K Liu', 'B Dolan-Gavitt', 'S Garg']",2018,"… in attacks, intrusions, and defenses","Deep neural networks (DNNs) provide excellent performance across a wide range of  classification tasks, but their training requires high computational resources and is often","AbstractDeep neural networks (DNNs) provide excellent performance across a wide range of classification tasks, but their training requires high computational resources and is often outsourced to third parties. Recent work has shown that outsourced training introduces the risk that a malicious trainer will return abackdooredDNN that behaves normally on most inputs but causes targeted misclassifications or degrades the accuracy of the network when atriggerknown only to the attacker is present. In this paper, we provide the first effective defenses against backdoor attacks on DNNs. We implement three backdoor attacks from prior work and use them to investigate two promising defenses, pruning and fine-tuning. We show that neither, by itself, is sufficient to defend against sophisticated attackers. We then evaluatefine-pruning, a combination of pruning and fine-tuning, and show that it successfully weakens or even eliminates the backdoors, i.e., in some cases reducing the attack success rate to 0% with only a\(0.4\%\)drop in accuracy for clean (non-triggering) inputs. Our work provides the first step toward defenses against backdoor attacks in deep neural networks.",1262,https://link.springer.com/chapter/10.1007/978-3-030-00470-5_13,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
GrandDetAuto: Detecting Malicious Nodes in Large-Scale Autonomous Networks,"['T Abera', 'F Brasser', 'L Gunn', 'P Jauernig']",2021,"… Attacks, Intrusions and …","efficiency and increased flexibility, which can be achieved by connecting devices within  individual factories as well as by interconnecting facilities collaborating within a supplychain [68]","Autonomous collaborative networks of devices are rapidly emerging in numerous domains, such as self-driving cars, smart factories, critical infrastructure, and Internet of Things in general. Although autonomy and self-organization are highly desired properties, they increase vulnerability to attacks. Hence, autonomous networks need dependable mechanisms to detect malicious devices in order to prevent compromise of the entire network. However, current mechanisms to detect malicious devices either require a trusted central entity or scale poorly.In this paper, we present GrandDetAuto, the first scheme to identify malicious devices efficiently within large autonomous networks of collaborating entities. GrandDetAuto functions without relying on a central trusted entity, works reliably for very large networks of devices, and is adaptable to a wide range of application scenarios thanks to interchangeable components. Our scheme uses random elections to embed integrity validation schemes in distributed consensus, providing a solution supporting tens of thousands of devices. We implemented and evaluated a concrete instance of GrandDetAuto on a network of embedded devices and conducted large-scale network simulations with up to 100 000 nodes. Our results show the effectiveness and efficiency of our scheme, revealing logarithmic growth in run-time and message complexity with increasing network size. Moreover, we provide an extensive evaluation of key parameters showing that GrandDetAuto is applicable to many scenarios with diverse requirements.",1,https://dl.acm.org/doi/abs/10.1145/3471621.3471868,"""supply chain"" source:""Attacks, Intrusions and Defenses""",,,,,,,,,,,,,,,,
